car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti Swift Dzire,Maruti,Swift Dzire,10,88000,Dealer,Diesel,Manual,19.3,1248,73.9,5,365000
Mahindra Bolero,Mahindra,Bolero,5,58800,Dealer,Diesel,Manual,13.6,2523,63.0,7,585000
Mahindra Scorpio,Mahindra,Scorpio,9,212000,Individual,Diesel,Automatic,11.79,2179,120.0,8,450000
Volkswagen Vento,Volkswagen,Vento,10,145000,Individual,Diesel,Manual,20.54,1598,103.6,5,200000
Hyundai Creta,Hyundai,Creta,5,27000,Dealer,Diesel,Manual,19.67,1582,126.2,5,1199000
Renault KWID,Renault,KWID,4,12500,Dealer,Petrol,Automatic,24.04,999,67.0,5,445000
Mahindra Bolero,Mahindra,Bolero,5,76000,Dealer,Diesel,Manual,13.6,2523,63.0,9,590000
Hyundai i20,Hyundai,i20,4,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,590000
Honda City,Honda,City,5,88000,Dealer,Petrol,Manual,17.4,1497,117.3,5,680000
Skoda Rapid,Skoda,Rapid,6,28800,Dealer,Petrol,Automatic,14.3,1598,103.52,5,625000
Maruti Swift,Maruti,Swift,3,40000,Individual,Petrol,Manual,22.0,1197,81.8,5,570000
Maruti Wagon R,Maruti,Wagon R,8,72000,Dealer,Petrol,Manual,18.9,998,67.1,5,290000
Hyundai Grand,Hyundai,Grand,5,62214,Dealer,Diesel,Manual,24.0,1120,70.0,5,525000
Datsun RediGO,Datsun,RediGO,3,1830,Dealer,Petrol,Manual,22.7,799,53.64,5,360000
Datsun GO,Datsun,GO,3,8000,Individual,Petrol,Manual,19.83,1198,67.0,7,600000
Maruti Wagon R,Maruti,Wagon R,5,35000,Dealer,Petrol,Manual,21.5,1197,81.8,5,390000
Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,5,50000,Dealer,Diesel,Automatic,11.3,2987,254.8,7,4255000
Hyundai Verna,Hyundai,Verna,4,23211,Dealer,Diesel,Manual,23.9,1582,126.2,5,825000
Honda Civic,Honda,Civic,15,120000,Individual,Petrol,Automatic,12.9,1799,130.0,5,150000
Mahindra XUV500,Mahindra,XUV500,5,37000,Dealer,Diesel,Manual,16.0,2179,140.0,7,995000
Maruti Swift Dzire,Maruti,Swift Dzire,3,35000,Individual,Diesel,Manual,28.4,1248,74.02,5,730000
Hyundai i10,Hyundai,i10,8,50000,Dealer,Petrol,Manual,20.36,1197,78.9,5,285000
BMW 5,BMW,5,3,7000,Dealer,Diesel,Automatic,22.48,1995,187.74,5,4750000
Mahindra Thar,Mahindra,Thar,3,50000,Individual,Diesel,Manual,16.55,2498,105.0,6,950000
Ford Figo,Ford,Figo,10,25000,Individual,Petrol,Manual,15.6,1196,70.0,5,230000
Honda Jazz,Honda,Jazz,5,22000,Dealer,Petrol,Manual,18.7,1199,88.7,5,575000
Mahindra XUV500,Mahindra,XUV500,5,44890,Dealer,Diesel,Automatic,16.0,1997,140.0,7,975000
Toyota Innova,Toyota,Innova,4,55000,Dealer,Diesel,Manual,13.68,2393,147.51,7,1450000
Hyundai Santro,Hyundai,Santro,9,120000,Individual,Petrol,Manual,17.92,1086,62.1,5,250000
Mahindra KUV,Mahindra,KUV,5,57589,Dealer,Diesel,Manual,25.32,1198,77.0,6,551000
Maruti Swift Dzire,Maruti,Swift Dzire,3,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,690000
Maruti Vitara,Maruti,Vitara,5,54566,Dealer,Diesel,Manual,24.3,1248,88.5,5,789000
Audi Q7,Audi,Q7,12,67000,Individual,Diesel,Automatic,12.07,2967,241.4,7,1000000
Honda Amaze,Honda,Amaze,8,48000,Dealer,Diesel,Manual,25.8,1498,98.6,5,470000
Maruti Eeco,Maruti,Eeco,2,70000,Individual,Petrol,Manual,15.37,1196,73.0,5,400000
Hyundai i10,Hyundai,i10,12,80000,Individual,Petrol,Manual,20.36,1197,78.9,5,180000
Maruti Wagon R,Maruti,Wagon R,7,51000,Dealer,CNG,Manual,32.52,998,58.33,5,245000
Maruti Alto,Maruti,Alto,8,70000,Individual,Petrol,Manual,22.74,796,47.3,5,157000
Hyundai i20,Hyundai,i20,5,20000,Dealer,Petrol,Manual,17.19,1197,81.86,5,540000
Hyundai i20,Hyundai,i20,4,100000,Individual,Petrol,Manual,18.6,1197,81.83,5,580000
Mahindra XUV500,Mahindra,XUV500,4,35000,Individual,Diesel,Manual,16.0,2179,140.0,7,1100000
Maruti Swift,Maruti,Swift,11,68000,Dealer,Petrol,Manual,16.1,1197,85.0,5,240000
Hyundai Verna,Hyundai,Verna,11,72000,Dealer,Diesel,Manual,16.2,1493,110.0,5,410000
Mahindra XUV500,Mahindra,XUV500,6,35000,Individual,Diesel,Manual,15.1,2179,140.0,7,1080000
Honda Jazz,Honda,Jazz,5,17012,Dealer,Petrol,Automatic,19.0,1199,88.7,5,540000
Volkswagen Polo,Volkswagen,Polo,6,44000,Dealer,Petrol,Automatic,17.21,1798,189.0,4,595000
BMW 3,BMW,3,7,85875,Dealer,Diesel,Automatic,13.2,1995,170.0,5,1600000
Hyundai Verna,Hyundai,Verna,9,30917,Dealer,Diesel,Manual,22.32,1582,126.3,5,465000
Hyundai Creta,Hyundai,Creta,4,70000,Individual,Diesel,Automatic,17.01,1582,126.2,5,1030000
Toyota Glanza,Toyota,Glanza,2,25637,Dealer,Petrol,Manual,21.01,1197,81.8,5,822000
Mahindra Scorpio,Mahindra,Scorpio,6,40000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1051000
Mini Cooper,Mini,Cooper,4,6000,Dealer,Petrol,Automatic,17.54,1598,184.0,5,3250000
Maruti Ciaz,Maruti,Ciaz,2,10000,Dealer,Petrol,Automatic,20.28,1462,103.25,5,910000
Maruti Swift,Maruti,Swift,3,20000,Individual,Diesel,Manual,28.4,1248,74.0,5,790000
Maruti Swift,Maruti,Swift,10,100000,Individual,Diesel,Manual,17.8,1248,75.0,5,330000
Maruti Swift,Maruti,Swift,6,95000,Individual,Diesel,Manual,25.2,1248,74.0,5,480000
Renault KWID,Renault,KWID,5,46000,Dealer,Petrol,Manual,25.17,799,53.3,5,315000
Hyundai Grand,Hyundai,Grand,5,41473,Dealer,Petrol,Manual,18.9,1197,82.0,5,550000
Maruti Swift,Maruti,Swift,3,38815,Dealer,Diesel,Automatic,28.4,1248,74.0,5,775000
Tata Safari,Tata,Safari,7,151048,Dealer,Diesel,Manual,14.0,2179,138.1,7,775000
Honda City,Honda,City,7,53000,Dealer,Petrol,Manual,17.8,1497,117.3,5,625000
Maruti Alto,Maruti,Alto,4,3600,Individual,Petrol,Manual,24.7,796,47.3,5,318000
Skoda Octavia,Skoda,Octavia,3,55000,Dealer,Diesel,Automatic,19.5,1968,141.0,5,2000000
Mahindra Scorpio,Mahindra,Scorpio,3,38500,Individual,Diesel,Manual,16.36,2179,140.0,7,1520000
Tata Nexon,Tata,Nexon,3,27000,Dealer,Diesel,Manual,21.5,1497,108.5,5,751000
Honda Amaze,Honda,Amaze,8,164000,Dealer,Diesel,Manual,25.8,1498,98.6,5,435000
Skoda Superb,Skoda,Superb,5,65000,Dealer,Petrol,Automatic,14.67,1798,177.46,5,1525000
Maruti Ertiga,Maruti,Ertiga,4,79000,Dealer,Diesel,Manual,20.77,1248,88.8,7,850000
Renault KWID,Renault,KWID,4,10000,Individual,Petrol,Manual,25.17,799,53.3,5,280000
Maruti Wagon R,Maruti,Wagon R,6,27300,Dealer,Petrol,Manual,20.52,1197,81.8,5,319000
Honda City,Honda,City,13,91000,Dealer,Petrol,Manual,16.0,1493,106.0,5,235000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,38000,Dealer,Diesel,Automatic,14.84,2143,170.0,5,1200000
Maruti Swift Dzire,Maruti,Swift Dzire,2,60000,Individual,Petrol,Manual,21.21,1197,81.8,5,525000
Datsun GO,Datsun,GO,3,9600,Individual,Petrol,Manual,19.83,1198,67.0,7,650000
Maruti Swift Dzire,Maruti,Swift Dzire,8,56000,Dealer,Petrol,Manual,19.1,1197,85.8,5,430000
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,24.7,796,47.3,5,310000
Toyota Innova,Toyota,Innova,11,105000,Dealer,Petrol,Manual,12.4,1998,132.0,8,675000
Hyundai Grand,Hyundai,Grand,5,33500,Dealer,Diesel,Manual,24.0,1120,70.0,5,365000
Maruti Swift Dzire,Maruti,Swift Dzire,9,61000,Dealer,Diesel,Manual,23.4,1248,74.0,5,455000
Hyundai Verna,Hyundai,Verna,12,121725,Dealer,Diesel,Manual,16.8,1493,110.0,5,330000
Toyota Fortuner,Toyota,Fortuner,11,200000,Individual,Diesel,Manual,11.5,2982,171.0,7,1200000
Maruti Swift Dzire,Maruti,Swift Dzire,13,40578,Individual,Diesel,Manual,19.3,1248,73.9,5,280000
Hyundai Verna,Hyundai,Verna,9,58000,Dealer,Diesel,Manual,22.32,1582,126.32,5,619000
Volkswagen Polo,Volkswagen,Polo,10,65000,Dealer,Petrol,Manual,16.2,1199,74.0,5,260000
Honda City,Honda,City,7,56664,Dealer,Diesel,Manual,25.6,1498,97.9,5,591000
Hyundai i20,Hyundai,i20,3,35575,Dealer,Diesel,Manual,22.54,1396,88.73,5,710000
Hyundai i20,Hyundai,i20,8,52891,Dealer,Petrol,Manual,18.6,1197,81.83,5,450000
Volkswagen Vento,Volkswagen,Vento,10,80000,Individual,Diesel,Manual,20.54,1598,103.6,5,315000
Toyota Innova,Toyota,Innova,7,69000,Dealer,Diesel,Manual,12.8,2494,102.0,8,1120000
Jaguar XF,Jaguar,XF,6,29000,Dealer,Diesel,Automatic,16.36,2179,187.7,5,3200000
Hyundai i10,Hyundai,i10,8,72000,Dealer,Petrol,Manual,19.81,1086,68.05,5,265000
Toyota Innova,Toyota,Innova,15,145000,Dealer,Diesel,Manual,12.8,2494,102.0,7,355000
Tata Nexon,Tata,Nexon,3,25000,Dealer,Petrol,Automatic,17.0,1198,108.5,5,910000
Mini Cooper,Mini,Cooper,4,6000,Dealer,Petrol,Automatic,14.41,1998,189.08,5,3250000
Maruti Wagon R,Maruti,Wagon R,7,58000,Dealer,Petrol,Manual,20.51,998,67.04,5,300000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,10,60000,Dealer,Petrol,Manual,12.3,1796,185.0,5,890000
Maruti Alto,Maruti,Alto,6,25000,Individual,Petrol,Manual,23.95,998,67.05,5,350000
Hyundai Verna,Hyundai,Verna,9,72000,Dealer,Diesel,Manual,22.32,1582,126.32,5,350000
Honda City,Honda,City,5,88000,Dealer,Diesel,Manual,26.0,1498,98.6,5,650000
Honda City,Honda,City,7,68000,Dealer,Diesel,Manual,26.0,1498,98.6,5,505000
Hyundai Verna,Hyundai,Verna,2,10000,Individual,Petrol,Manual,17.0,1591,121.3,5,999000
Maruti Celerio,Maruti,Celerio,3,47000,Dealer,Petrol,Automatic,21.63,998,67.05,5,525000
Ford Figo,Ford,Figo,10,40000,Individual,Diesel,Manual,20.0,1399,68.0,5,150000
Ford Figo,Ford,Figo,10,71000,Dealer,Diesel,Manual,25.83,1498,99.0,5,240000
Mahindra KUV100,Mahindra,KUV100,3,40000,Individual,Diesel,Manual,25.32,1198,77.0,5,680000
Toyota Innova,Toyota,Innova,12,69000,Dealer,Diesel,Manual,12.8,2494,102.0,8,850000
Maruti Eeco,Maruti,Eeco,1,8200,Individual,Petrol,Manual,16.11,1196,72.42,5,410000
Maruti Eeco,Maruti,Eeco,2,25000,Individual,Petrol,Manual,15.37,1196,73.0,5,385000
